"Commander South Atlantic Force US Atlantic Fleet","Commander South Atlantic Force US Atlantic Fleet","LOCATION"
"Barbados Bridgetown","Barbados Bridgetown","LOCATION"
"RUEAORC US CUSTOMS BORDER PROTECT WASHINGTON DC","RUEAORC US CUSTOMS BORDER PROTECT WASHINGTON DC","LOCATION"
"RUEAIAO HQ ICE IAO WASHINGTON DC","RUEAIAO HQ ICE IAO WASHINGTON DC","LOCATION"
"Asian Pacific Economic Cooperation","Asian Pacific Economic Cooperation","LOCATION"
"Foreign Service Institute","Foreign Service Institute","LOCATION"
"Central African Republic Bangui","Central African Republic Bangui","LOCATION"
"MILLENNIUM CHALLENGE CORP","MILLENNIUM CHALLENGE CORP","LOCATION"
"Latvia Riga","Latvia Riga","LOCATION"
"Group Destinations Southern Common Market (MERCOSUR-Mercado Común del Sur)","Group Destinations Southern Common Market (MERCOSUR-Mercado Común del Sur)","LOCATION"
"Canada All Canada Posts","Canada All Canada Posts","LOCATION"
"Afghanistan","Afghanistan","LOCATION"
"Haiti Haiti Collective","Haiti Haiti Collective","LOCATION"
"Commander United States Forces Korea","Commander United States Forces Korea","LOCATION"
"Macedonia Skopje","Macedonia Skopje","LOCATION"
"Joint Intelligence Center Pacific","Joint Intelligence Center Pacific","LOCATION"
"Kyrgyzstan Bishkek","Kyrgyzstan Bishkek","LOCATION"
"39th Operations Squadron Incirlik Turkey","39th Operations Squadron Incirlik Turkey","LOCATION"
"Greece Thessaloniki","Greece Thessaloniki","LOCATION"
"RHMFISS COMSOCEUR SOJ35 VAIHINGEN GE","RHMFISS COMSOCEUR SOJ35 VAIHINGEN GE","LOCATION"
"China Chengdu","China Chengdu","LOCATION"
"RUCNOSA OVERSEAS SECURITY COUNCIL COLLECTIVE","RUCNOSA OVERSEAS SECURITY COUNCIL COLLECTIVE","LOCATION"
"Group Destinations Federal Republic of Germany Collective","Group Destinations Federal Republic of Germany Collective","LOCATION"
"Ecuador Quito","Ecuador Quito","LOCATION"
"RHMFIUU HQ USARSO RESCUE COORD CNTR FT SAM HOUSTON TX","RHMFIUU HQ USARSO RESCUE COORD CNTR FT SAM HOUSTON TX","LOCATION"
"RUEOUAB HQ DRMS BATTLE CREEK MI","RUEOUAB HQ DRMS BATTLE CREEK MI","LOCATION"
"Guatemala Guatemala","Guatemala Guatemala","LOCATION"
"RUEANHA FAA","RUEANHA FAA","LOCATION"
"International Atomic Energy Agency (Vienna)","International Atomic Energy Agency (Vienna)","LOCATION"
"Philippines Manila","Philippines Manila","LOCATION"
"Federal Preparedness Agency (Federal Emergency Management Agency FEMA)","Federal Preparedness Agency (Federal Emergency Management Agency FEMA)","LOCATION"
"Pakistan Peshawar","Pakistan Peshawar","LOCATION"
"Nepal Kathmandu","Nepal Kathmandu","LOCATION"
"RUEHTRO USLO TRIPOLI","RUEHTRO USLO TRIPOLI","LOCATION"
"RUEC SECSTATE","RUEC SECSTATE","LOCATION"
